od,od_time,fd,fd_time,td,td_time,omd,omd_time,fmd,fmd_time,tmd,tmd_time
0.007843,0.001742,0.125230,0.000001,0.121993,0.000024,0.360746,0.014544,0.360746,0.000001,0.360055,0.000030
0.005615,0.001546,0.009002,0.000001,0.009002,0.000025,0.356252,0.015829,0.355673,0.000002,0.356045,0.000033
0.006172,0.001892,0.008671,0.000000,0.008671,0.000022,0.149359,0.012795,0.149359,0.000002,0.149787,0.000030
0.009454,0.002269,0.080084,0.000000,0.079768,0.000025,0.287131,0.013594,0.286866,0.000002,0.287114,0.000028
0.006624,0.002082,0.039621,0.000000,0.039621,0.000025,0.291552,0.013757,0.291342,0.000002,0.291494,0.000029
0.006142,0.001859,0.012780,0.000001,0.012780,0.000022,0.194465,0.013511,0.194262,0.000002,0.193700,0.000029
0.006383,0.001813,0.012705,0.000001,0.012705,0.000022,0.155281,0.013131,0.155281,0.000000,0.155434,0.000026
0.007873,0.001226,0.053124,0.000000,0.053124,0.000023,0.299651,0.014086,0.299559,0.000000,0.301121,0.000032
0.007286,0.001594,0.035059,0.000000,0.035059,0.000027,0.426667,0.015652,0.426643,0.000000,0.426863,0.000031
0.008279,0.002369,0.087581,0.000000,0.084465,0.000026,0.462930,0.016089,0.462650,0.000002,0.462684,0.000035
0.008671,0.002566,0.099262,0.000001,0.099262,0.000028,0.458468,0.016026,0.458347,0.000002,0.458403,0.000032
0.008219,0.002334,0.073370,0.000000,0.069306,0.000024,0.423340,0.014959,0.423289,0.000002,0.423220,0.000036
0.008084,0.001905,0.035827,0.000001,0.035827,0.000027,0.328324,0.014812,0.328255,0.000002,0.328822,0.000034
0.005765,0.001469,0.008279,0.000001,0.007813,0.000027,0.191382,0.013221,0.191350,0.000001,0.191393,0.000029
0.008084,0.001770,0.050474,0.000002,0.050474,0.000024,0.444689,0.016072,0.444208,0.000002,0.444655,0.000036
0.005479,0.001824,0.013669,0.000002,0.013157,0.000026,0.392200,0.016061,0.391483,0.000001,0.390555,0.000035
0.010462,0.002623,0.151799,0.000001,0.150173,0.000025,0.473479,0.016386,0.473330,0.000001,0.473539,0.000033
0.008731,0.002873,0.046530,0.000001,0.046530,0.000027,0.428830,0.015230,0.428584,0.000001,0.428478,0.000035
0.007753,0.002215,0.062110,0.000001,0.061117,0.000027,0.391670,0.014456,0.391590,0.000002,0.393001,0.000032
0.005675,0.001704,0.019389,0.000002,0.019389,0.000027,0.282927,0.015180,0.282897,0.000002,0.283112,0.000032
0.006127,0.001867,0.014963,0.000002,0.014752,0.000026,0.193771,0.013319,0.193715,0.000001,0.193391,0.000028
0.006082,0.001585,0.068478,0.000001,0.066416,0.000023,0.358892,0.014817,0.358714,0.000001,0.358004,0.000028
0.010011,0.002106,0.093632,0.000001,0.092187,0.000026,0.454419,0.016126,0.454302,0.000001,0.454279,0.000034
0.005630,0.002321,0.008189,0.000001,0.008189,0.000028,0.443462,0.016589,0.443311,0.000003,0.443719,0.000032
0.007768,0.002701,0.111155,0.000002,0.108806,0.000026,0.464459,0.016461,0.464363,0.000002,0.463964,0.000032
0.008054,0.002164,0.080400,0.000001,0.080400,0.000027,0.440866,0.016133,0.440499,0.000002,0.441060,0.000034
0.007963,0.002074,0.048337,0.000001,0.048337,0.000023,0.311891,0.014444,0.311891,0.000001,0.312168,0.000033
0.006097,0.001713,0.013488,0.000001,0.013488,0.000026,0.196923,0.013546,0.196713,0.000001,0.197100,0.000028
0.005886,0.001757,0.030212,0.000002,0.030212,0.000025,0.331783,0.014996,0.331612,0.000001,0.332505,0.000030
0.009619,0.001995,0.132952,0.000002,0.132952,0.000024,0.420683,0.016060,0.420683,0.000000,0.420175,0.000036
0.007768,0.002345,0.077149,0.000001,0.077149,0.000025,0.453873,0.016437,0.453817,0.000002,0.454084,0.000039
0.010026,0.002812,0.061057,0.000001,0.059988,0.000026,0.471554,0.016579,0.471351,0.000003,0.471623,0.000038
0.006337,0.002401,0.021286,0.000000,0.021286,0.000022,0.403431,0.015162,0.403287,0.000003,0.403650,0.000031
0.007391,0.001896,0.021602,0.000001,0.020172,0.000026,0.263659,0.014108,0.263659,0.000002,0.263098,0.000032
0.007211,0.001864,0.019931,0.000001,0.019931,0.000024,0.210581,0.013280,0.210562,0.000001,0.210355,0.000030
0.007256,0.001549,0.076712,0.000000,0.076712,0.000027,0.370766,0.014823,0.370221,0.000000,0.369674,0.000030
0.006021,0.001683,0.011576,0.000000,0.010763,0.000024,0.415662,0.016112,0.415662,0.000001,0.416302,0.000034
0.009092,0.002329,0.134457,0.000001,0.131386,0.000026,0.473163,0.016041,0.472706,0.000001,0.472760,0.000037
0.012961,0.002847,0.197050,0.000001,0.193647,0.000027,0.486481,0.015662,0.486226,0.000001,0.486278,0.000034
0.010522,0.002431,0.108445,0.000000,0.107015,0.000026,0.427594,0.014807,0.427373,0.000001,0.427965,0.000034
0.006473,0.001816,0.014662,0.000000,0.014662,0.000025,0.233062,0.014170,0.232859,0.000003,0.233651,0.000029
0.006172,0.001878,0.017221,0.000000,0.017221,0.000025,0.164651,0.012769,0.164651,0.000002,0.164996,0.000028
0.005871,0.001526,0.040705,0.000002,0.040705,0.000022,0.327051,0.014302,0.326706,0.000001,0.326858,0.000032
0.006322,0.001786,0.027006,0.000002,0.027006,0.000025,0.388011,0.014825,0.387605,0.000001,0.387168,0.000035
0.012269,0.002356,0.152943,0.000001,0.148186,0.000025,0.470431,0.016636,0.470431,0.000002,0.470037,0.000035
0.012359,0.002907,0.177059,0.000001,0.175824,0.000026,0.469835,0.021684,0.469760,0.000002,0.469330,0.000034
0.013985,0.002887,0.140479,0.000001,0.137573,0.000026,0.440671,0.019233,0.440671,0.000001,0.440747,0.000030
0.007737,0.001907,0.022761,0.000002,0.022761,0.000021,0.250203,0.014456,0.250203,0.000001,0.251199,0.000033
